"","fuel","usage","count","min_power","mean_power","standard_error_power","max_power","sd_power","min_nox","mean_nox","max_nox","standard_error_nox","sd_nox","product","fuel_state"
"1","LPG","Commercial",6,30,71.6666666666667,14.2400062421959,120,34.8807492274273,34.9,54.3666666666667,67.7,5.61009011613103,13.7418581955523,"boiler","liquid fuels"
"2","LPG","Residential",21,27,35.3333333333333,1.53426472747315,50,7.03088424974649,23,25.7619047619048,41,0.9332604441898,4.27673662860787,"boiler","liquid fuels"
"3","NG","Commercial",7,30,82.8571428571429,16.4337465968928,150,43.4796066044323,33.2,34.5428571428571,35.7,0.322827642984348,0.854121659673732,"boiler","gaseous fuels"
"4","NG","Residential",29,12,33.4137931034483,1.48017876148758,50,7.97100657463083,23,28.8275862068966,57,1.53133845116385,8.24650993501944,"boiler","gaseous fuels"
"5","Oil","Residential",5,18,27.2,6.3118935352238,50,14.1138230115019,94,106.6,110,3.1559467676119,7.05691150575094,"boiler","liquid fuels"
