Engine ,Product,Power (kW),Speed (rpm),Tier I,Tier II,Tier III
Yanmar 6AYEM common rail,Fast RPM Marine,749,2000,9.8,7.7,2
Mitusbishi S8U-MPTK,Medium RPM Marine,1790,1200,10.9,8.6,2.2
Wärtsilä-Sulzer RTA96-C,Slow RPM Marine,80080,120,17,14.4,3.4
