Brand,Name,Fuel Type,Date first produced,Power (kW),NOx Class ,NOx emissions (mg/kWh),Usage,Source,Notes,,,,,,,
Worcester Bosch,Greenstar 8000 Life Combi,LPG,,35,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-combi,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life Combi,NG,,40,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-combi,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life Combi,LPG,,40,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-combi,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life Combi,NG,,45,,24,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-combi,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life Combi,LPG,,45,,24,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-combi,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life Combi,NG,,50,,24,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-combi,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life Combi,LPG,,50,,24,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-combi,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Compact,NG,,28,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-compact,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Compact,LPG,,28,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-compact,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Compact,NG,,32,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-compact,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Compact,LPG,,32,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-compact,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Compact,NG,,36,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-compact,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Compact,LPG,,36,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-compact,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 4000,NG,,25,,40,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-4000,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 4000,NG,,30,,40,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-4001,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Highflow 440 CDI LPG,LPG,,30,,23,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-highflow,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Highflow 440 CDI NG,NG,,30,,23,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-highflow,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Highflow 550 CDI LPG,LPG,,31,,23,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-highflow,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar CDi Highflow 550 CDI NG,NG,,31,,23,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-cdi-highflow,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar Heatslave II 12/18,Oil,2022,18,,110,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-heatslave-ii,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar Heatslave II EXT 25/32,Oil,2022,32,,109,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-heatslave-ii-external,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 1000,NG,,24,,43,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-1000,Combi Boiler,,,,,,,
