Engine,Min Power (kW),Max Power (kW),Nox (g/kWh)
NRE-v-5,56.00,130,0.4
NRE-c-5,56.00,130,0.4
NRE-v-6,130.00,560,0.4
NRE-c-6,130.00,560,0.4
NRE-v-7,560.00,,3.5
NRE-c-7,560.00,,3.5
NRG-v-1,560.00,,0.67
NRG-c-1,560.00,,0.67
IWP-v-3,130.00,300,2.1
IWP-c-3,130.00,300,2.1
IWP-v-4,300.00,,1.8
IWP-c-4,300.00,,1.8
IWA-v-3,130.00,300,2.1
IWA-c-3,130.00,300,2.1
IWA-v-4,300.00,,1.8
IWA-c-4,300.00,,1.8
