Gas,NFR/CRF Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Poultry litter,kilotonne,-,-,0.043069364,0.117649526,0.448898384,0.387236748,0.280649497,0.389147687,0.366571066,0.399716224,0.639111419,0.928897135,0.821874759,0.844085886,0.758448103,0.583574362,0.473102465,0.490911648,0.568334659,0.595648871,0.765295603,0.621406293,0.586790276,0.644041661,0.615134108,0.658794098,0.663057981,0.794365902,0.95441088,1.004656247,1.013868657,0.998018586,0.885903242
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Slurry,kilotonne,-,-,-,-,1.49182724,1.045773409,1.84948447,0.940969306,1.186114932,0.217842976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Scrap tyres,kilotonne,-,-,-,-,0.295488,0.295488,0.459648,0.503424,0.361152,0.2736,0.089139649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Burning oil,kilotonne,-,-,-,-,-,-,-,0.001038672,0.001038672,0.000695992,0.001010865,0.001189974,0.001068115,0.001109007,0.001005958,0.064301509,0.065690155,0.020439879,0.007812138,0.007142766,0.004110942,0.004966435,0.004129273,0.003646239,0.002801717,0.003013808,0.007449268,0.003390598,0.004232256,0.003922698,0.005018367,0.004480006,0.004205184
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Petroleum coke,kilotonne,-,-,-,-,-,-,-,0.148016372,-,-,-,-,-,-,-,0.45354353,0.580625923,0.818078691,0.979353248,1.776005845,0.681619511,0.152507216,0.360807097,0.172831265,-,0.11843039,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Straw,kilotonne,-,-,-,-,-,-,-,-,-,-,0.046010189,0.381268232,0.298564559,0.430575101,0.414837708,0.239490566,0.24466324,0.175630512,0.160132488,0.195233147,0.251475664,0.236674919,0.329079279,0.241218534,0.24653579,0.362269094,0.411640675,0.970445194,0.54401986,1.014770734,1.062918236,0.770408733,0.648828353
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Wood,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.070708974,1.649011379,1.192888385,1.645837096,1.905652407,1.861915114,1.97034785,2.311367522,3.470828099,5.822840237,6.98372452,8.921167347,6.77766532,6.914140691,8.548136249,10.93583027,11.04875523,11.11569372,9.634539891
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Liquid bio-fuels,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.062971227,0.776021253,1.330372092,0.227783821,0.073132088,0.065540546,0.040976825,0.047757081,0.183893946,0.249927225,0.016552683,0.022339378,0.004096799,0.006442404,0.000509818,0.000672918,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Fuel oil,kilotonne,13.24542218,12.82556782,13.16513363,11.3693597,12.03711143,10.20736536,9.626404452,8.97915479,9.653476475,7.190390471,4.605249872,6.721346872,7.408318247,6.124566723,5.626152798,5.022790621,4.666002649,5.180120185,3.684218553,3.650512293,2.13541473,2.063560455,1.220960707,1.228110419,0.469388795,0.915855901,1.028119056,0.839981321,0.811795743,0.535767632,0.414844281,0.607040343,0.821768878
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Gas oil,kilotonne,2.991433554,2.561372407,2.561372407,2.303591955,2.822738386,3.019901247,3.314867653,4.07002388,4.877990465,3.310580559,4.46317175,1.343164295,1.244546559,4.191212666,4.476049961,4.539813749,1.412256822,-,-,-,-,0.014745394,0.000979634,-,-,-,0.000307084,0.000280599,0.000279868,0.000302063,-,0.000750592,0.003236313
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,LPG,kilotonne,0.041973886,0.03659729,0.034728492,0.023305182,0.011060686,0.014758042,0.015787352,0.016132426,0.062695626,0.059808676,0.054824001,0.06449252,0.013455506,0.021942078,0.02476154,0.05152824,0.074976589,0.081167929,0.009285197,0.010924449,0.008589755,0.021025547,0.013488713,0.009091084,0.013702045,0.011206266,0.013924274,0.014279059,0.016836137,0.012326101,0.007566464,0.023865439,0.043269851
